Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2026-01-22,Advanced Micro Devices Inc,AMD,stock,"35,03","0,137920109"
completada,2026-01-22,Tesla Inc,TSLA,stock,"41,99","0,09400179"
completada,2026-01-23,Advanced Micro Devices Inc,AMD,stock,"28,93","0,111247506"
completada,2026-01-27,NVIDIA Corp,NVDA,stock,29,"0,152639612"
completada,2026-01-28,Dell Technologies Inc,DELL,stock,"19,87","0,169577751"
completada,2026-02-04,Dell Technologies Inc,DELL,stock,"19,97","0,166292508"
completada,2026-02-25,NVIDIA Corp,NVDA,stock,20,"0,102954802"
completada,2026-02-27,Dell Technologies Inc,DELL,stock,"139,97","0,948316737"
completada,2026-02-27,Dell Technologies Inc,DELL,stock,"85,91","0,582340195"
completada,2026-03-10,NVIDIA Corp,NVDA,stock,31,"0,167106894"
completada,2026-03-10,Tesla Inc,TSLA,stock,30,"0,074537865"
completada,2026-03-12,Dell Technologies Inc,DELL,stock,"43,81","0,291342492"
completada,2026-03-16,Dell Technologies Inc,DELL,stock,34,"0,218245307"
