Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2024-06-27,Dell Technologies Inc,DELL,stock,"9,99","0,071341942"
completada,2024-06-27,Meta Platforms Inc,META,stock,"6,5","0,012490393"
completada,2024-06-27,Dell Technologies Inc,DELL,stock,10,"0,071387779"
completada,2024-06-28,Advanced Micro Devices Inc,AMD,stock,10,"0,06148171"
completada,2024-07-02,Apple Inc,AAPL,stock,"7,5","0,034339088"
completada,2024-07-03,Advanced Micro Devices Inc,AMD,stock,20,"0,122204571"
completada,2024-07-03,Advanced Micro Devices Inc,AMD,stock,20,"0,122010737"
completada,2024-07-05,Advanced Micro Devices Inc,AMD,stock,10,"0,0594884"
completada,2024-07-05,Apple Inc,AAPL,stock,"8,13","0,036446275"
completada,2024-07-05,Advanced Micro Devices Inc,AMD,stock,10,"0,058159824"
completada,2024-07-05,Tesla Inc,TSLA,stock,"37,07","0,148875503"
completada,2024-07-05,Alphabet Inc,GOOG,stock,10,"0,052153959"
completada,2024-07-05,Meta Platforms Inc,META,stock,"6,66","0,012576633"
completada,2024-07-05,NVIDIA Corp,NVDA,stock,10,"0,078039645"
completada,2024-07-08,Dell Technologies Inc,DELL,stock,10,"0,068287354"
completada,2024-07-09,NVIDIA Corp,NVDA,stock,10,"0,07521059"
completada,2024-07-09,Tesla Inc,TSLA,stock,"5,67","0,021989529"
completada,2024-07-09,Tesla Inc,TSLA,stock,"4,78","0,018049791"
completada,2024-07-10,NVIDIA Corp,NVDA,stock,10,"0,074183977"
completada,2024-07-10,Advanced Micro Devices Inc,AMD,stock,10,"0,054981307"
completada,2024-07-11,Avis Budget Group Inc,CAR,stock,"9,99","0,096805422"
completada,2024-07-11,Tesla Inc,TSLA,stock,"10,43","0,038640772"
completada,2024-07-12,Avis Budget Group Inc,CAR,stock,"9,97","0,094055681"
completada,2024-07-12,Advanced Micro Devices Inc,AMD,stock,10,"0,053795256"
completada,2024-07-12,Tesla Inc,TSLA,stock,10,"0,03977092"
completada,2024-07-15,Tesla Inc,TSLA,stock,10,"0,038372986"
completada,2024-07-15,Avis Budget Group Inc,CAR,stock,"9,99","0,090489549"
completada,2024-07-17,SPDR Gold Shares,GLD,etf,30,"0,13093004"
completada,2024-07-17,SPDR Gold Shares,GLD,etf,"20,48","0,089733706"
completada,2024-07-18,Tesla Inc,TSLA,stock,10,"0,039218763"
completada,2024-07-22,Meta Platforms Inc,META,stock,10,"0,020439031"
completada,2024-07-22,Dell Technologies Inc,DELL,stock,10,"0,077112894"
completada,2024-07-22,NVIDIA Corp,NVDA,stock,10,"0,081037278"
completada,2024-08-01,Meta Platforms Inc,META,stock,10,"0,019753477"
completada,2024-08-13,Meta Platforms Inc,META,stock,"11,44","0,021875479"
completada,2024-08-15,Meta Platforms Inc,META,stock,10,"0,018566655"
completada,2024-08-20,NVIDIA Corp,NVDA,stock,10,"0,077736319"
completada,2024-08-20,Advanced Micro Devices Inc,AMD,stock,10,"0,062554736"
completada,2024-08-20,Tesla Inc,TSLA,stock,10,"0,044428648"
completada,2024-08-22,Meta Platforms Inc,META,stock,10,"0,018459721"
completada,2024-08-23,NVIDIA Corp,NVDA,stock,10,"0,077483342"
completada,2024-09-04,Tesla Inc,TSLA,stock,10,"0,045435959"
completada,2024-09-05,Tesla Inc,TSLA,stock,10,"0,043875044"
completada,2024-09-05,Tesla Inc,TSLA,stock,10,"0,042582184"
completada,2024-09-10,Tesla Inc,TSLA,stock,10,"0,044730722"
completada,2024-09-12,Tesla Inc,TSLA,stock,30,"0,130793042"
completada,2024-09-19,Advanced Micro Devices Inc,AMD,stock,10,"0,063135299"
completada,2024-09-19,Meta Platforms Inc,META,stock,"11,3","0,020261906"
completada,2024-09-19,Tesla Inc,TSLA,stock,"29,99","0,123117331"
completada,2024-09-23,Tesla Inc,TSLA,stock,20,"0,080984775"
completada,2024-09-24,Tesla Inc,TSLA,stock,10,"0,038965088"
completada,2024-09-24,Advanced Micro Devices Inc,AMD,stock,10,"0,062956435"
