Status de compra,Fecha de compra,Nombre activo,Símbolo activo,Categoría activo,Aporte en dólares,Acciones compradas
completada,2025-10-31,Dell Technologies Inc,DELL,stock,"10,00","0,062605647"
completada,2025-11-04,Advanced Micro Devices Inc,AMD,stock,"15,00","0,059932875"
completada,2025-11-04,Dell Technologies Inc,DELL,stock,"35,00","0,225532902"
completada,2025-11-04,Tesla Inc,TSLA,stock,"20,00","0,044229782"
completada,2025-11-05,Dell Technologies Inc,DELL,stock,"18,00","0,120354645"
completada,2025-11-05,Tesla Inc,TSLA,stock,"10,00","0,022604795"
completada,2025-11-06,Advanced Micro Devices Inc,AMD,stock,"36,00","0,146826108"
completada,2025-11-06,NVIDIA Corp,NVDA,stock,"37,00","0,190480112"
completada,2025-11-06,Advanced Micro Devices Inc,AMD,stock,"20,00","0,084080246"
completada,2025-11-06,Tesla Inc,TSLA,stock,"20,00","0,044674368"
completada,2025-11-06,Dell Technologies Inc,DELL,stock,"20,00","0,133470362"
completada,2025-11-06,NVIDIA Corp,NVDA,stock,"27,00","0,142784617"
completada,2025-11-06,Tesla Inc,TSLA,stock,"20,00","0,045618981"
completada,2025-11-07,Advanced Micro Devices Inc,AMD,stock,"35,00","0,152818408"
completada,2025-11-07,Dell Technologies Inc,DELL,stock,"23,00","0,158749879"
completada,2025-11-07,NVIDIA Corp,NVDA,stock,"28,00","0,153419613"
completada,2025-11-07,Tesla Inc,TSLA,stock,"20,00","0,046956072"
completada,2025-11-10,Dell Technologies Inc,DELL,stock,"20,00","0,14116717"
completada,2025-11-11,Advanced Micro Devices Inc,AMD,stock,"20,00","0,083325"
completada,2025-11-11,Dell Technologies Inc,DELL,stock,"20,00","0,146188144"
completada,2025-11-11,NVIDIA Corp,NVDA,stock,"20,00","0,103778578"
completada,2025-11-11,Tesla Inc,TSLA,stock,"20,00","0,045935405"
completada,2025-11-13,Dell Technologies Inc,DELL,stock,"33,00","0,237365672"
completada,2025-11-13,Tesla Inc,TSLA,stock,"33,00","0,078409755"
completada,2025-11-13,NVIDIA Corp,NVDA,stock,"26,00","0,137480303"
completada,2025-11-13,Tesla Inc,TSLA,stock,"22,00","0,052998"
completada,2025-11-13,Tesla Inc,TSLA,stock,"20,00","0,049534622"
completada,2025-11-13,Dell Technologies Inc,DELL,stock,"20,00","0,146492243"
completada,2025-11-14,Advanced Micro Devices Inc,AMD,stock,"31,00","0,125522334"
completada,2025-11-14,Tesla Inc,TSLA,stock,"25,00","0,063419262"
completada,2025-11-14,Dell Technologies Inc,DELL,stock,"20,00","0,15008705"
completada,2025-11-17,Dell Technologies Inc,DELL,stock,"37,00","0,289678065"
completada,2025-11-17,Dell Technologies Inc,DELL,stock,"23,00","0,184120783"
completada,2025-11-20,Advanced Micro Devices Inc,AMD,stock,"51,47","0,223858525"
completada,2025-11-20,Advanced Micro Devices Inc,AMD,stock,"20,00","0,087291264"
completada,2025-11-24,NVIDIA Corp,NVDA,stock,"57,95","0,323931222"
completada,2025-12-03,Advanced Micro Devices Inc,AMD,stock,"66,33","0,309698565"
completada,2025-12-09,Advanced Micro Devices Inc,AMD,stock,"28,00","0,125785033"
completada,2025-12-11,Advanced Micro Devices Inc,AMD,stock,"20,00","0,094247153"
completada,2025-12-11,NVIDIA Corp,NVDA,stock,"35,00","0,197508013"
completada,2025-12-15,Advanced Micro Devices Inc,AMD,stock,"39,00","0,184697569"
completada,2025-12-15,Dell Technologies Inc,DELL,stock,"56,00","0,429020148"
completada,2025-12-18,Advanced Micro Devices Inc,AMD,stock,"32,00","0,156108222"
completada,2025-12-19,Dell Technologies Inc,DELL,stock,"53,00","0,418258152"
completada,2025-12-26,Tesla Inc,TSLA,stock,"32,00","0,067343751"
completada,2025-12-29,NVIDIA Corp,NVDA,stock,"28,00","0,150119559"
completada,2026-01-02,Tesla Inc,TSLA,stock,"48,00","0,106128477"
completada,2026-01-02,Tesla Inc,TSLA,stock,"23,30","0,052754796"
completada,2026-01-12,NVIDIA Corp,NVDA,stock,"34,93","0,189756516"
completada,2026-01-21,Tesla Inc,TSLA,stock,"64,00","0,149929954"
completada,2026-01-22,Dell Technologies Inc,DELL,stock,"72,00","0,609652836"
completada,2026-01-23,Dell Technologies Inc,DELL,stock,"26,00","0,226342822"
completada,2026-01-26,Advanced Micro Devices Inc,AMD,stock,"20,00","0,079187849"
completada,2026-01-26,Advanced Micro Devices Inc,AMD,stock,"9,00","0,035625222"
completada,2026-01-27,Tesla Inc,TSLA,stock,"27,00","0,062168721"
completada,2026-02-04,Tesla Inc,TSLA,stock,"27,71","0,065743271"
completada,2026-02-27,Tesla Inc,TSLA,stock,"60,00","0,149787302"
completada,2026-03-05,Dell Technologies Inc,DELL,stock,"30,00","0,208986415"
completada,2026-03-05,NVIDIA Corp,NVDA,stock,"90,00","0,502523786"
completada,2026-03-09,Tesla Inc,TSLA,stock,"28,00","0,071946882"
